layer,hook_name,metric,mean_delta,std_delta,n_examples
0,blocks.0.hook_resid_post,logit,0.1519097222222222,0.2148493334751884,54
1,blocks.1.hook_resid_post,logit,0.18070023148148148,0.459833248907952,54
2,blocks.2.hook_resid_post,logit,0.2964409722222222,0.4016642276103805,54
3,blocks.3.hook_resid_post,logit,0.5604745370370371,0.5546557034493429,54
4,blocks.4.hook_resid_post,logit,0.4195601851851852,0.5751245395486119,54
5,blocks.5.hook_resid_post,logit,0.4742476851851852,0.6525079138809915,54
6,blocks.6.hook_resid_post,logit,0.4848090277777778,0.6520873579349902,54
7,blocks.7.hook_resid_post,logit,0.17563657407407407,0.6662063769031973,54
8,blocks.8.hook_resid_post,logit,-0.42549189814814814,0.9569218482460792,54
9,blocks.9.hook_resid_post,logit,-0.3266059027777778,0.9169677013242292,54
10,blocks.10.hook_resid_post,logit,0.07219328703703703,1.0051894194901334,54
11,blocks.11.hook_resid_post,logit,1.3194444444444444,1.0242958811459064,54
12,blocks.12.hook_resid_post,logit,1.810474537037037,1.1257420913635015,54
13,blocks.13.hook_resid_post,logit,2.4347511574074074,1.2114686690778445,54
14,blocks.14.hook_resid_post,logit,2.161892361111111,1.26581553628755,54
15,blocks.15.hook_resid_post,logit,2.2106481481481484,1.2812949066737012,54
16,blocks.16.hook_resid_post,logit,2.3622685185185186,1.3221340115812161,54
17,blocks.17.hook_resid_post,logit,3.040653935185185,1.3386766781531074,54
18,blocks.18.hook_resid_post,logit,3.3402777777777777,1.396645386644645,54
19,blocks.19.hook_resid_post,logit,3.3715277777777777,1.3973238281442442,54
20,blocks.20.hook_resid_post,logit,3.3080150462962963,1.371741154714983,54
21,blocks.21.hook_resid_post,logit,3.4691840277777777,1.3631349275987763,54
22,blocks.22.hook_resid_post,logit,3.6138599537037037,1.3641788845956995,54
23,blocks.23.hook_resid_post,logit,3.820167824074074,1.3496721623698813,54
24,blocks.24.hook_resid_post,logit,3.7939814814814814,1.347391040092601,54
25,blocks.25.hook_resid_post,logit,3.8274016203703702,1.2837249850359156,54
26,blocks.26.hook_resid_post,logit,3.775028935185185,1.2703226892889505,54
27,blocks.27.hook_resid_post,logit,3.7887731481481484,1.2993731293887072,54
28,blocks.28.hook_resid_post,logit,3.888310185185185,1.2931477661279511,54
29,blocks.29.hook_resid_post,logit,3.859519675925926,1.2889981676527995,54
30,blocks.30.hook_resid_post,logit,3.9416956018518516,1.297492636231143,54
31,blocks.31.hook_resid_post,logit,4.00708912037037,1.3036568142791825,54
