layer,head,hook_name,metric,mean_delta,std_delta,n_examples
30,0,blocks.30.attn.hook_z,logit,-0.001850328947368421,0.003366027220177704,38
30,1,blocks.30.attn.hook_z,logit,-0.0014391447368421052,0.00400230842495741,38
30,2,blocks.30.attn.hook_z,logit,-0.00041118421052631577,0.0036087599753577343,38
30,3,blocks.30.attn.hook_z,logit,0.0069901315789473685,0.00991369563436702,38
30,4,blocks.30.attn.hook_z,logit,0.020148026315789474,0.03175435375638709,38
30,5,blocks.30.attn.hook_z,logit,0.0047286184210526315,0.009703471754323232,38
30,6,blocks.30.attn.hook_z,logit,-0.0008223684210526315,0.0050694194103363295,38
30,7,blocks.30.attn.hook_z,logit,0.005550986842105263,0.0223131120518634,38
30,8,blocks.30.attn.hook_z,logit,0.004317434210526316,0.014609907764739772,38
30,9,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.003847463952125993,38
30,10,blocks.30.attn.hook_z,logit,-0.001850328947368421,0.011406193673256742,38
30,11,blocks.30.attn.hook_z,logit,0.004523026315789474,0.017762530200041798,38
30,12,blocks.30.attn.hook_z,logit,0.006578947368421052,0.02343935210794868,38
30,13,blocks.30.attn.hook_z,logit,-0.0006167763157894736,0.0021349711932272955,38
30,14,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.0022148105917896357,38
30,15,blocks.30.attn.hook_z,logit,0.00041118421052631577,0.003608759975357734,38
30,16,blocks.30.attn.hook_z,logit,0.006578947368421052,0.014247367320007198,38
30,17,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.0022148105917896357,38
30,18,blocks.30.attn.hook_z,logit,0.014185855263157895,0.009055519059180858,38
30,19,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.003847463952125993,38
30,20,blocks.30.attn.hook_z,logit,0.009662828947368422,0.011260641921165371,38
30,21,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.0028643644308360434,38
30,22,blocks.30.attn.hook_z,logit,-0.0024671052631578946,0.019231677490451224,38
30,23,blocks.30.attn.hook_z,logit,-0.0006167763157894736,0.002134971193227296,38
30,24,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.0042546652627491275,38
30,25,blocks.30.attn.hook_z,logit,-0.0010279605263157894,0.004512152728842379,38
30,26,blocks.30.attn.hook_z,logit,0.00020559210526315788,0.0028643644308360434,38
30,27,blocks.30.attn.hook_z,logit,-0.0012335526315789473,0.0061666517490816955,38
30,28,blocks.30.attn.hook_z,logit,-0.00041118421052631577,0.0025347097051681643,38
30,29,blocks.30.attn.hook_z,logit,0.004934210526315789,0.024599640303795148,38
30,30,blocks.30.attn.hook_z,logit,-0.00020559210526315788,0.0022148105917896353,38
30,31,blocks.30.attn.hook_z,logit,0.0,0.003146044008815739,38
31,0,blocks.31.attn.hook_z,logit,0.004317434210526316,0.005039359055624109,38
31,1,blocks.31.attn.hook_z,logit,-0.001644736842105263,0.00370374357683281,38
31,2,blocks.31.attn.hook_z,logit,0.0047286184210526315,0.007160153268624355,38
31,3,blocks.31.attn.hook_z,logit,0.0008223684210526315,0.008859242367158541,38
31,4,blocks.31.attn.hook_z,logit,0.0,0.0018163693553721763,38
31,5,blocks.31.attn.hook_z,logit,0.00390625,0.006975898875287919,38
31,6,blocks.31.attn.hook_z,logit,0.0,0.0018163693553721763,38
31,7,blocks.31.attn.hook_z,logit,-0.0014391447368421052,0.00400230842495741,38
31,8,blocks.31.attn.hook_z,logit,0.0006167763157894736,0.00280308751755016,38
31,9,blocks.31.attn.hook_z,logit,-0.00020559210526315788,0.021220204209685328,38
31,10,blocks.31.attn.hook_z,logit,0.0010279605263157894,0.0032344905847744108,38
31,11,blocks.31.attn.hook_z,logit,0.0010279605263157894,0.004130414581281712,38
31,12,blocks.31.attn.hook_z,logit,-0.0069901315789473685,0.011600540294199846,38
31,13,blocks.31.attn.hook_z,logit,-0.003289473684210526,0.005017777118954665,38
31,14,blocks.31.attn.hook_z,logit,-0.0034950657894736842,0.018762081589468665,38
31,15,blocks.31.attn.hook_z,logit,0.0,0.0,38
31,16,blocks.31.attn.hook_z,logit,0.023643092105263157,0.006913389560429841,38
31,17,blocks.31.attn.hook_z,logit,0.008018092105263159,0.01197796671531438,38
31,18,blocks.31.attn.hook_z,logit,-0.0014391447368421052,0.00400230842495741,38
31,19,blocks.31.attn.hook_z,logit,0.006784539473684211,0.007304211018292876,38
31,20,blocks.31.attn.hook_z,logit,0.05797697368421053,0.023446759076725113,38
31,21,blocks.31.attn.hook_z,logit,-0.002261513157894737,0.004773940718060072,38
31,22,blocks.31.attn.hook_z,logit,-0.0008223684210526315,0.004370425366897879,38
31,23,blocks.31.attn.hook_z,logit,-0.0014391447368421052,0.004755719503792811,38
31,24,blocks.31.attn.hook_z,logit,0.0006167763157894736,0.006644431775368906,38
31,25,blocks.31.attn.hook_z,logit,-0.001644736842105263,0.006588664143750728,38
31,26,blocks.31.attn.hook_z,logit,-0.0010279605263157894,0.004512152728842377,38
31,27,blocks.31.attn.hook_z,logit,-0.00020559210526315788,0.0028643644308360434,38
31,28,blocks.31.attn.hook_z,logit,0.005962171052631579,0.007363403323445892,38
31,29,blocks.31.attn.hook_z,logit,-0.0008223684210526315,0.005966289136749924,38
31,30,blocks.31.attn.hook_z,logit,0.006784539473684211,0.006336774262920411,38
31,31,blocks.31.attn.hook_z,logit,-0.00020559210526315788,0.004626161922498956,38
