example_id,condition,layer,gold_answer,gold_first_token,gold_token_id,gold_logit,gold_rank,is_top1,top1_token,top1_logit
geo_006,cell_B,0,South America,South,3684,0.7437,18989,0,amsbsy,12.7344
geo_006,cell_B,1,South America,South,3684,0.377,22203,0,bserver,10.5312
geo_006,cell_B,2,South America,South,3684,-1.0391,35068,0,,10.6797
geo_006,cell_B,3,South America,South,3684,-1.2324,36506,0,,10.4922
geo_006,cell_B,4,South America,South,3684,-0.6709,31852,0,,9.5625
geo_006,cell_B,5,South America,South,3684,-1.1709,36381,0,doct,9.8203
geo_006,cell_B,6,South America,South,3684,-1.8574,41161,0,Syrac,9.8203
geo_006,cell_B,7,South America,South,3684,-1.4668,39034,0,doct,9.2188
geo_006,cell_B,8,South America,South,3684,-3.6367,48745,0,CLUDING,9.0156
geo_006,cell_B,9,South America,South,3684,-4.0,49034,0,advertis,9.4688
geo_006,cell_B,10,South America,South,3684,-2.5742,45536,0,vess,8.5078
geo_006,cell_B,11,South America,South,3684,-3.0352,47024,0,answ,11.0078
geo_006,cell_B,12,South America,South,3684,-3.7461,48943,0,answ,9.9688
geo_006,cell_B,13,South America,South,3684,0.5957,18964,0,answ,9.3125
geo_006,cell_B,14,South America,South,3684,2.5605,4510,0,answ,10.7812
geo_006,cell_B,15,South America,South,3684,3.4805,1743,0,answ,10.875
geo_006,cell_B,16,South America,South,3684,4.3633,491,0,America,9.3516
geo_006,cell_B,17,South America,South,3684,5.3672,170,0,America,10.5
geo_006,cell_B,18,South America,South,3684,6.1406,69,0,Europe,11.2578
geo_006,cell_B,19,South America,South,3684,7.125,31,0,Europe,11.4141
geo_006,cell_B,20,South America,South,3684,7.4688,32,0,Europe,11.4688
geo_006,cell_B,21,South America,South,3684,8.0625,18,0,Europe,11.2891
geo_006,cell_B,22,South America,South,3684,9.4766,11,0,Europe,11.5938
geo_006,cell_B,23,South America,South,3684,10.1719,9,0,Europe,11.2344
geo_006,cell_B,24,South America,South,3684,10.7656,5,0,The,11.6875
geo_006,cell_B,25,South America,South,3684,11.0625,5,0,The,12.3828
geo_006,cell_B,26,South America,South,3684,10.8125,5,0,The,12.4141
geo_006,cell_B,27,South America,South,3684,11.3125,4,0,The,12.0547
geo_006,cell_B,28,South America,South,3684,11.7578,4,0,The,12.5469
geo_006,cell_B,29,South America,South,3684,11.9766,2,0,North,12.6562
geo_006,cell_B,30,South America,South,3684,13.2734,1,0,North,14.3281
geo_006,cell_B,31,South America,South,3684,15.7656,1,0,North,16.2656
geo_006,cell_D,0,South America,South,3684,-0.3884,29620,0,,12.1953
geo_006,cell_D,1,South America,South,3684,-0.6777,31707,0,pril,12.2656
geo_006,cell_D,2,South America,South,3684,0.1008,24461,0,pril,11.5938
geo_006,cell_D,3,South America,South,3684,-0.3958,28924,0,ibase,11.5625
geo_006,cell_D,4,South America,South,3684,1.166,14508,0,tml,11.1406
geo_006,cell_D,5,South America,South,3684,-0.4856,30024,0,answ,10.9766
geo_006,cell_D,6,South America,South,3684,-2.125,43226,0,answ,9.9219
geo_006,cell_D,7,South America,South,3684,-1.9453,42905,0,PLIED,10.7891
geo_006,cell_D,8,South America,South,3684,-3.4824,48895,0,PLIED,10.5469
geo_006,cell_D,9,South America,South,3684,-2.8281,47054,0,PLIED,9.8516
geo_006,cell_D,10,South America,South,3684,-1.9219,42772,0,PLIED,10.4766
geo_006,cell_D,11,South America,South,3684,-2.4629,45713,0,PLIED,10.0
geo_006,cell_D,12,South America,South,3684,-2.8848,47578,0,vess,9.9609
geo_006,cell_D,13,South America,South,3684,3.9766,680,0,answ,9.0391
geo_006,cell_D,14,South America,South,3684,4.3945,400,0,vess,9.4141
geo_006,cell_D,15,South America,South,3684,4.8672,194,0,PLIED,9.7109
geo_006,cell_D,16,South America,South,3684,5.4844,71,0,ocean,9.5703
geo_006,cell_D,17,South America,South,3684,7.8828,11,0,ocean,10.6562
geo_006,cell_D,18,South America,South,3684,9.0,8,0,continent,11.5078
geo_006,cell_D,19,South America,South,3684,9.8984,5,0,Europe,11.4375
geo_006,cell_D,20,South America,South,3684,10.6016,3,0,Europe,11.7422
geo_006,cell_D,21,South America,South,3684,11.625,1,0,Europe,11.9766
geo_006,cell_D,22,South America,South,3684,12.5703,0,1,South,12.5703
geo_006,cell_D,23,South America,South,3684,13.5156,0,1,South,13.5156
