condition,layer,n_examples,mean_gold_logit,std_gold_logit,mean_gold_rank,median_gold_rank,top1_rate,top1_count
cell_B,0,54,-0.644,1.6324,30266.19,35736,0.0,0
cell_B,1,54,-1.0438,1.7163,32788.61,38856,0.0,0
cell_B,2,54,-1.4502,1.8371,35289.39,36625,0.0,0
cell_B,3,54,-1.5148,1.6671,36183.43,42024,0.0,0
cell_B,4,54,-1.907,2.1615,37000.76,42473,0.0,0
cell_B,5,54,-1.5304,2.243,35256.22,40250,0.0,0
cell_B,6,54,-2.3188,2.5159,38853.07,44679,0.0,0
cell_B,7,54,-1.5817,2.0394,36619.3,42179,0.0,0
cell_B,8,54,-1.7943,2.1632,37506.7,45331,0.0,0
cell_B,9,54,-2.3266,2.5795,38489.96,46442,0.0,0
cell_B,10,54,-1.144,2.2554,33548.06,38784,0.0,0
cell_B,11,54,-1.2351,2.1549,34033.07,40708,0.0,0
cell_B,12,54,-0.9777,2.1186,32891.24,40172,0.0,0
cell_B,13,54,0.854,1.5416,18391.63,19145,0.0,0
cell_B,14,54,1.2701,1.9921,16241.52,13317,0.0,0
cell_B,15,54,2.0235,2.0181,11770.31,5903,0.0,0
cell_B,16,54,3.2955,2.1244,5913.7,1834,0.0,0
cell_B,17,54,5.1815,2.6414,2187.69,165,0.0556,3
cell_B,18,54,6.1578,2.2411,480.87,70,0.037,2
cell_B,19,54,6.7903,2.0002,132.93,31,0.0556,3
cell_B,20,54,7.775,1.9207,39.52,17,0.0741,4
cell_B,21,54,8.0821,1.795,26.87,10,0.0926,5
cell_B,22,54,8.9362,1.795,45.78,6,0.1481,8
cell_B,23,54,9.2992,1.9293,46.69,4,0.1296,7
cell_B,24,54,9.8013,2.0629,56.89,3,0.1667,9
cell_B,25,54,10.0279,2.0457,42.57,3,0.1111,6
cell_B,26,54,10.0128,2.042,44.2,5,0.0741,4
cell_B,27,54,9.9258,1.8613,39.46,4,0.0926,5
cell_B,28,54,10.3555,1.9156,31.04,4,0.1481,8
cell_B,29,54,10.4508,1.894,24.37,4,0.1481,8
cell_B,30,54,11.2841,1.7111,11.31,2,0.1852,10
cell_B,31,54,12.7606,1.6232,9.2,4,0.0185,1
cell_D,0,54,-1.1677,1.3896,34089.35,37498,0.0,0
cell_D,1,54,-1.338,1.2783,35377.28,39427,0.0,0
cell_D,2,54,-1.2438,1.4643,34312.52,35251,0.0,0
cell_D,3,54,-1.2524,1.3319,34705.54,35958,0.0,0
cell_D,4,54,-0.6823,1.2656,31102.22,36465,0.0,0
cell_D,5,54,-1.3661,1.6234,35320.94,37644,0.0,0
cell_D,6,54,-1.7533,1.5555,38372.0,43561,0.0,0
cell_D,7,54,-1.3034,1.6062,35742.94,42717,0.0,0
cell_D,8,54,-1.3137,1.7022,35438.91,42398,0.0,0
cell_D,9,54,-1.6773,1.8512,37178.3,45911,0.0,0
cell_D,10,54,-1.3557,1.9953,35180.02,43748,0.0,0
cell_D,11,54,-1.3467,2.0043,35282.26,42441,0.0,0
cell_D,12,54,-0.9386,1.8829,32789.17,35299,0.0,0
cell_D,13,54,1.6007,1.9086,13960.09,9666,0.0,0
cell_D,14,54,1.8704,2.2777,13366.65,10264,0.0,0
cell_D,15,54,3.1826,2.1661,6543.33,1542,0.0,0
cell_D,16,54,5.1464,2.2816,1845.8,186,0.0,0
cell_D,17,54,8.5847,3.1462,256.04,9,0.2963,16
cell_D,18,54,9.7099,2.5246,36.04,1,0.4074,22
cell_D,19,54,10.1353,2.1811,9.02,1,0.4074,22
cell_D,20,54,10.9962,1.6342,1.26,1,0.463,25
cell_D,21,54,11.2736,1.6223,1.41,1,0.463,25
cell_D,22,54,11.9588,1.6433,1.81,0,0.5926,32
cell_D,23,54,12.4929,1.9759,2.54,0,0.6111,33
cell_D,24,54,12.8286,2.0187,3.98,0,0.6667,36
cell_D,25,54,13.0252,2.151,5.09,0,0.5741,31
cell_D,26,54,12.942,2.2242,6.56,0,0.5741,31
cell_D,27,54,12.8304,2.0664,5.78,0,0.7037,38
cell_D,28,54,13.3383,2.1065,4.26,0,0.6481,35
cell_D,29,54,13.3291,2.0942,2.44,0,0.6667,36
cell_D,30,54,14.224,1.6182,0.59,0,0.7593,41
cell_D,31,54,16.7645,1.1792,0.0,0,1.0,54
